"JobTitle","Sex","Race","JobType","StartYear"
"Deputy Sheriff Lieutenant","M","White","Permanent-Full Time",1992
"Fire Chief","M","White","Permanent-Full Time",1984
"Human Services Specialist","M","Black or African American","Permanent-Full Time",2009
"Administrative Specialist","F","White","Permanent-Full Time",2000
"Financial Management Bureau Chief","M","White","Permanent-Full Time",2004
"Human Services Aide V","F","Black or African American","Permanent-Full Time",2000
"Management Specialist","M","Hispanic or Latino","Permanent-Full Time",2001
"Police Sergeant","M","White","Permanent-Full Time",1995
"GIS Analyst","M","White","Permanent-Full Time",2001
"Treasury Specialist II","F","Asian","Permanent-Full Time",1992
"Library Assistant Coordinator","F","Hispanic or Latino","Permanent-Full Time",1985
"Developmental Disability Specialist II","F","Hispanic or Latino","Permanent-Full Time",2013
"Nutritionist II","F","Hispanic or Latino","Permanent-Part Time",1996
"Human Services Aide V","F","White","Permanent-Full Time",1989
"Management Analyst","M","White","Permanent-Full Time",1980
"Trades Manager/Leader I","M","Hispanic or Latino","Permanent-Full Time",2003
"Trades Worker II","M","Black or African American","Permanent-Full Time",2003
"Public Service Aide II","M","Asian","Permanent-Full Time",1999
"Administrative Assistant V","F","Hispanic or Latino","Permanent-Full Time",2000
"Administrative Assistant V","F","Black or African American","Permanent-Full Time",2002
"Library Assistant Coordinator","F","White","Permanent-Full Time",1999
"Mental Health Therapist II","F","White","Permanent-Full Time",2000
"Public Health Nurse","F","White","Permanent-Full Time",1993
"Police Corporal","M","White","Permanent-Full Time",1994
"County Surveyor","M","White","Permanent-Full Time",1997
"Construction Management Specialist","M","Black or African American","Permanent-Full Time",1984
"Administrative Assistant VI","F","Black or African American","Permanent-Full Time",1997
"Administrative Technician II","F","Black or African American","Permanent-Full Time",1981
"Chief Enterprise Architect","M","White","Permanent-Full Time",2002
"Trades Manager/Leader I","M","Hispanic or Latino","Permanent-Full Time",1990
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2002
"Treasury Specialist II","F","Black or African American","Permanent-Full Time",2003
"Police Corporal","M","White","Permanent-Full Time",2001
"Fire/EMS Captain II","M","Black or African American","Permanent-Full Time",1987
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",1999
"Fire/EMS Captain II","M","White","Permanent-Full Time",1998
"Trades Manager/Leader I","M","White","Permanent-Full Time",1990
"Police Sergeant","M","Black or African American","Permanent-Full Time",1991
"Police Corporal","M","White","Permanent-Full Time",2002
"Juvenile Program Coordinator","F","Black or African American","Permanent-Full Time",2002
"DPR Program Manager","F","White","Permanent-Full Time",1994
"Senior Day Programs Supervisor","F","White","Permanent-Full Time",1997
"Inmate Services Counselor II","F","Black or African American","Permanent-Full Time",2003
"Firefighter/EMT II","M","Asian","Permanent-Full Time",2004
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",2004
"Firefighter/EMT III","M","Hispanic or Latino","Permanent-Full Time",2005
"Police Officer","M","White","Permanent-Full Time",1997
"Police Sergeant","M","Asian","Permanent-Full Time",2002
"Court Specialist II","F","Black or African American","Permanent-Full Time",2005
"Probation Counselor II","F","Hispanic or Latino","Permanent-Full Time",2001
"DPR Programmer I","F","White","Permanent-Full Time",2005
"Records Assistant IV","M","Hispanic or Latino","Permanent-Full Time",1994
"Delivery Driver","M","Hispanic or Latino","Permanent-Part Time",1999
"Office Supervisor II","F","Hispanic or Latino","Permanent-Full Time",1991
"Library Assistant II","F","White","Permanent-Part Time",2011
"DPR Program Assistant","M","White","Permanent-Full Time",2004
"Administrative Technician I","F","Hispanic or Latino","Permanent-Full Time",2004
"Public Health Nurse","F","White","Permanent-Full Time",2003
"Business Systems Analyst III","M","Black or African American","Permanent-Full Time",2004
"Business Systems Analyst I","M","Hispanic or Latino","Permanent-Full Time",2001
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",1987
"Staff Financial Analyst","F","Black or African American","Permanent-Full Time",2001
"Wastewater Maintenance Technician","M","White","Permanent-Full Time",2003
"Auto Mechanic II","M","Asian","Permanent-Full Time",1989
"Eligibility Worker","F","White","Permanent-Full Time",2002
"Police Officer","F","Hispanic or Latino","Permanent-Full Time",1995
"Deputy Sheriff Corporal","F","Black or African American","Permanent-Full Time",1998
"Administrative Assistant V","F","Hispanic or Latino","Permanent-Full Time",1994
"Gymnastics Instructor","F","Black or African American","Permanent-Full Time",2002
"Deputy Sheriff Sergeant","M","Hispanic or Latino","Permanent-Full Time",2001
"Firefighter/EMT II","M","White","Permanent-Full Time",2006
"Emergency Communications Systems Spec","F","White","Permanent-Full Time",1993
"Police Corporal","M","White","Permanent-Full Time",2001
"Construction Management Specialist","M","Black or African American","Permanent-Full Time",2005
"Cartographer II","M","White","Permanent-Full Time",2000
"Library Associate","F","Hispanic or Latino","Permanent-Full Time",1997
"DPR Programmer I","F","Hispanic or Latino","Permanent-Full Time",2013
"Administrative Assistant V","M","Hispanic or Latino","Permanent-Full Time",1998
"Management & Budget Specialist","F","Black or African American","Permanent-Full Time",2001
"Senior Trades Worker I","M","White","Permanent-Full Time",1989
"Design Engineer","M","Asian","Permanent-Full Time",2005
"IT Program Manager","F","Hispanic or Latino","Permanent-Full Time",1984
"WSS Technician V","M","Black or African American","Permanent-Full Time",1989
"DPR Programmer I","F","Asian","Permanent-Full Time",1992
"Library Assistant II","M","White","Permanent-Full Time",1997
"Fire/EMS Battalion Chief","M","White","Permanent-Full Time",1987
"Fire/EMS Captain II","M","White","Permanent-Full Time",2000
"Police Corporal","M","Black or African American","Permanent-Full Time",1996
"Land Surveyor I","M","White","Permanent-Full Time",2004
"Deputy Sheriff Captain","M","White","Permanent-Full Time",1996
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",1997
"Library Associate","F","Black or African American","Permanent-Part Time",2002
"Fire/EMS Lieutenant","M","Black or African American","Permanent-Full Time",2000
"Tree Maintenance Worker","M","Hispanic or Latino","Permanent-Full Time",1992
"DPR Programmer I","M","Hispanic or Latino","Permanent-Full Time",1996
"Police Captain","M","White","Permanent-Full Time",1994
"Fire/EMS Lieutenant","M","White","Permanent-Full Time",1993
"Sr WSS Technician","M","White","Permanent-Full Time",1991
"Fire/EMS Captain II","M","White","Permanent-Full Time",1986
"Police Corporal","M","White","Permanent-Full Time",2003
"Police Corporal","M","Black or African American","Permanent-Full Time",2003
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",1999
"Building Maintenance Operations Supv","F","White","Permanent-Full Time",1984
"DTS Division Chief","M","White","Permanent-Full Time",2018
"Deputy Police Chief","M","White","Permanent-Full Time",1992
"Employment Development Specialist","F","White","Permanent-Full Time",2001
"WSS Technician IV","M","Black or African American","Permanent-Full Time",1993
"Human Resources/OD Specialist","F","Black or African American","Permanent-Full Time",2005
"DPR Program Specialist","F","Hispanic or Latino","Permanent-Full Time",1994
"Construction Management Specialist","M","Black or African American","Permanent-Full Time",1996
"Librarian","F","White","Permanent-Full Time",2004
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",1993
"Business Systems Analyst III","M","Hispanic or Latino","Permanent-Full Time",2015
"Administrative Assistant V","M","White","Permanent-Full Time",2005
"AED Deputy Director","F","White","Permanent-Full Time",2005
"Administrative Technician I","F","Asian","Permanent-Full Time",1996
"Sr WSS Technician","M","Asian","Permanent-Full Time",1998
"Administrative Assistant IV","F","Hispanic or Latino","Permanent-Full Time",2012
"Trades Worker IV","M","White","Permanent-Full Time",1986
"Trades Manager/Leader II","M","White","Permanent-Full Time",1988
"Emergency Communications Systems Spec","M","White","Permanent-Full Time",1992
"DPR Program Manager","F","Black or African American","Permanent-Full Time",2003
"Management Specialist","F","Black or African American","Permanent-Full Time",2014
"WSS Equipment Operator II","M","Hispanic or Latino","Permanent-Full Time",2004
"Construction Plans Examiner II","M","White","Permanent-Full Time",1984
"Library Assistant II","M","White","Permanent-Part Time",2001
"Senior Trades Worker V","M","Black or African American","Permanent-Full Time",1997
"Financial Analyst II","M","White","Permanent-Full Time",1996
"Mental Health Therapist II (Licensed)","F","White","Permanent-Part Time",1999
"Trades Manager/Leader I","M","White","Permanent-Full Time",2000
"Management Analyst","F","Black or African American","Permanent-Full Time",1989
"Construction Management Specialist","M","White","Permanent-Full Time",2005
"Administrative Specialist","F","White","Permanent-Full Time",2003
"Police Corporal","M","White","Permanent-Full Time",1992
"Multi-Skilled Wastewater Plant Operator","M","White","Permanent-Full Time",2013
"Administrative Assistant III","M","Black or African American","Permanent-Part Time",2000
"Meter Collector II","M","Black or African American","Permanent-Full Time",1998
"Auto Mechanic II","M","White","Permanent-Full Time",1999
"Sr Infrastructure Support Specialist","M","Black or African American","Permanent-Full Time",2000
"Multi-Skilled Wastewater Plant Operator","M","White","Permanent-Full Time",2001
"Neighborhood Conservation Section Supervisor","M","White","Permanent-Full Time",2005
"Trades Manager/Leader II","M","White","Permanent-Full Time",1996
"Police Lieutenant","M","White","Permanent-Full Time",1997
"DPR Programmer II","M","White","Permanent-Full Time",2002
"Auto Mechanic II","M","Black or African American","Permanent-Full Time",2005
"Machinist","M","Asian","Permanent-Full Time",1987
"Public Safety Support Supervisor","F","Black or African American","Permanent-Full Time",1992
"Auto Mechanic II","M","Hispanic or Latino","Permanent-Full Time",1999
"Administrative Technician I","F","Hispanic or Latino","Permanent-Full Time",1994
"Records Assistant IV","F","Hispanic or Latino","Permanent-Full Time",1989
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",2001
"Management Specialist","F","Black or African American","Permanent-Full Time",1999
"DES Deputy Director","M","White","Permanent-Full Time",2016
"Assistant Human Resources Director","F","White","Permanent-Full Time",1984
"Police Captain","M","White","Permanent-Full Time",1991
"Business Systems Analyst III","F","White","Permanent-Full Time",2006
"Fire Marshal I","M","White","Permanent-Full Time",1987
"Mental Health Supervisor","F","Black or African American","Permanent-Full Time",2004
"Human Services Specialist","F","White","Permanent-Full Time",1996
"Planner, Principal","F","White","Permanent-Part Time",2004
"Administrative Technician II","F","Hispanic or Latino","Permanent-Full Time",1988
"DPR Program Assistant","M","White","Permanent-Full Time",1993
"Fire Marshal I","M","White","Permanent-Full Time",2000
"Court Assistant","F","Hispanic or Latino","Permanent-Full Time",1988
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2006
"Permit Administration Manager","M","Black or African American","Permanent-Full Time",1987
"Office Aide I","F","White","Permanent-Part Time",2005
"Warehouse Technician I","M","Black or African American","Permanent-Full Time",2003
"Engineering Support Associate III","F","Black or African American","Permanent-Full Time",1986
"Sheriff Chief Deputy","M","White","Permanent-Full Time",2017
"Fire/EMS Lieutenant","F","White","Permanent-Full Time",2002
"Management Specialist","M","Hispanic or Latino","Permanent-Full Time",2016
"Inmate Services Counselor II","F","White","Permanent-Full Time",1994
"Sr IT Analyst","F","White","Permanent-Full Time",1999
